Reported_Date,City,daily_temp,daily_humidity,mavg_7_temp,mavg_7_humidity,mavg_15_temp,mavg_15_humidity
2020-01-01,New York,4.07,60.71,,,,
2020-01-02,New York,3.26,58.62,,,,
2020-01-03,New York,7.42,78.12,,,,
2020-01-04,New York,8.63,94.88,,,,
2020-01-05,New York,4.92,59.67,,,,
2020-01-06,New York,2.7,67.04,,,,
2020-01-07,New York,4.41,51.67,,,,
2020-01-08,New York,2.37,67.79,5.058571428571429,67.24428571428572,,
2020-01-09,New York,-1.83,45.54,4.815714285714286,68.25571428571429,,
2020-01-10,New York,3.99,67.29,4.088571428571429,66.38714285714286,,
2020-01-11,New York,12.98,72.46,3.5985714285714288,64.84,,
2020-01-12,New York,16.91,66.38,4.220000000000001,61.63714285714286,,
2020-01-13,New York,6.19,66.04,5.932857142857143,62.59571428571429,,
2020-01-14,New York,5.18,81.96,6.431428571428571,62.452857142857134,,
2020-01-15,New York,7.21,76.75,6.541428571428571,66.78,,
2020-01-16,New York,6.97,71.04,7.232857142857143,68.06,5.894,67.66133333333333
2020-01-17,New York,-1.48,40.42,8.49,71.70285714285714,6.0873333333333335,68.35
2020-01-18,New York,-4.42,56.04,7.708571428571429,67.86428571428571,5.771333333333334,67.13666666666667
2020-01-19,New York,3.39,76.44,5.222857142857143,65.51857142857143,4.982,65.66466666666666
2020-01-20,New York,-2.58,45.25,3.2914285714285714,66.95571428571428,4.632666666666667,64.43533333333333
2020-01-21,New York,-3.47,46.88,2.0385714285714287,63.98571428571428,4.132666666666667,63.474000000000004
2020-01-22,New York,-1.12,54.21,0.8028571428571427,58.97428571428571,3.7213333333333334,62.13
2020-01-23,New York,1.97,59.67,-0.3871428571428571,55.75428571428571,3.3526666666666665,62.29933333333334
2020-01-24,New York,4.68,57.88,-1.1014285714285714,54.13,3.326,61.758
2020-01-25,New York,5.69,79.38,-0.22142857142857153,56.62428571428571,3.76,62.580666666666666
2020-01-26,New York,5.55,75.75,1.2228571428571426,59.95857142857143,3.873333333333333,63.38666666666666
2020-01-27,New York,4.42,63.42,1.5314285714285714,59.86,3.378,63.606
2020-01-28,New York,4.47,55.88,2.531428571428571,62.455714285714286,2.5453333333333337,63.408666666666676
2020-01-29,New York,2.69,49.5,3.665714285714285,63.74142857142857,2.4306666666666668,62.73133333333333
2020-01-30,New York,-0.49,49.83,4.21,63.06857142857143,2.2646666666666664,60.56733333333334
2020-01-31,New York,2.23,71.88,3.858571428571428,61.66285714285715,1.751333333333333,58.772666666666666
2020-02-01,New York,4.19,85.88,3.5085714285714285,63.66285714285714,1.4353333333333331,58.82866666666666
2020-02-02,New York,3.97,76.32,3.294285714285714,64.59142857142857,1.8133333333333332,61.85933333333333
2020-02-03,New York,6.07,76.12,3.068571428571428,64.67285714285715,2.3726666666666665,63.211333333333336
2020-02-04,New York,8.35,71.62,3.3042857142857147,66.48714285714286,2.551333333333333,63.190000000000005
2020-02-05,New York,6.99,69.79,3.858571428571429,68.73571428571428,3.2800000000000002,64.94800000000001
2020-02-06,New York,4.28,81.67,4.472857142857143,71.63428571428571,3.9773333333333336,66.47533333333334
2020-02-07,New York,5.37,89.38,5.154285714285715,76.18285714285715,4.3373333333333335,68.306
2020-02-08,New York,1.57,51.92,5.602857142857142,78.68285714285715,4.564000000000001,70.28666666666666
2020-02-09,New York,2.28,65.92,5.228571428571429,73.83142857142856,4.3566666666666665,69.88933333333333
2020-02-10,New York,5.98,76.25,4.9871428571428575,72.3457142857143,4.129333333333333,68.992
2020-02-11,New York,7.13,94.54,4.974285714285714,72.36428571428573,4.1579999999999995,69.02533333333334
2020-02-12,New York,5.98,56.62,4.8,75.63857142857144,4.338666666666667,71.1
2020-02-13,New York,4.23,86.67,4.655714285714285,73.75714285714287,4.439333333333334,71.14933333333333
2020-02-14,New York,1.42,54.29,4.648571428571429,74.47142857142856,4.542,73.62733333333333
2020-02-15,New York,-5.86,49.29,4.0842857142857145,69.45857142857143,4.6693333333333324,73.92466666666668
2020-02-16,New York,0.99,66.42,3.0228571428571427,69.08285714285714,4.13,72.41866666666667
2020-02-17,New York,5.48,53.0,2.8385714285714285,69.1542857142857,3.9166666666666665,71.12133333333334
2020-02-18,New York,5.43,67.29,2.7671428571428573,65.83285714285715,4.017333333333334,69.56666666666666
2020-02-19,New York,6.72,56.54,2.5242857142857145,61.940000000000005,3.974666666666667,68.97800000000001
2020-02-20,New York,0.69,43.58,2.63,61.92857142857143,3.866,67.97266666666667
2020-02-21,New York,-2.29,40.88,2.1242857142857146,55.77285714285715,3.4459999999999997,66.22533333333334
2020-02-22,New York,2.56,39.54,1.594285714285714,53.857142857142854,3.008,63.506
2020-02-23,New York,6.25,35.38,2.7971428571428567,52.464285714285715,2.820666666666667,60.183333333333344
2020-02-24,New York,7.8,48.92,3.548571428571429,48.03000000000001,3.1326666666666667,59.080666666666666
2020-02-25,New York,8.67,76.96,3.8799999999999994,47.44714285714286,3.5006666666666666,57.94733333333333
2020-02-26,New York,7.75,93.25,4.3428571428571425,48.82857142857142,3.68,57.994666666666674
2020-02-27,New York,5.8,72.92,4.49,54.07285714285714,3.7213333333333334,57.90866666666667
2020-02-28,New York,1.09,45.76,5.22,58.26428571428571,3.7093333333333334,58.99533333333333
2020-02-29,New York,0.4,44.08,5.702857142857143,58.96142857142856,3.5,56.268
2020-03-01,New York,-0.1,45.71,5.394285714285714,59.61000000000001,3.432,55.58733333333334
2020-03-02,New York,6.61,52.25,4.4871428571428575,61.08571428571428,3.8160000000000003,55.34866666666667
