Comparativo Ciudades,,,,,,,,
,,,,,,,,
Fecha,País,Ciudad,Casos confirmados acumulad,Fallecidos,Población (millones),Año población,Casos millón hab,Fallecidos millón hab
3/06/2020,Ecuador,Guayaquil,9653,991,2723665,2020,3544,364
4/06/2020,Ecuador,Guayaquil,9653,991,2723665,2020,3544,364
27/05/2020,México,Ciudad de México,21826,1945,8985339,2015,2429,216
27/05/2020,Perú,Lima,89970,4127,9485405,2017,9485,435
27/05/2020,Uruguay,Montevideo,554,14,1351162,2020,410,10
27/05/2020,Brasil,Sao Paulo,89483,6712,12106920,2017,7391,554
27/05/2020,Estados Unidos,New York,364965,29484,8398748,2018,43455,3511
27/05/2020,España,Madrid,68066,8691,3266126,2020,20840,2661
28/05/2020,Colombia,Bogotá,8536,229,7743955,2020,1102,30
28/05/2020,Argentina,Buenos Aires,8429,212,3075646,2020,2741,69
28/05/2020,Brasil,Brasilia,8300,142,3015268,2019,2753,47
28/05/2020,Chile,Santiago de Chile,69915,638,7460708,2020,9371,86
5/06/2020,Ecuador,Guayaquil,9828,1025,2723665,2020,3608,376
6/06/2020,Ecuador,Guayaquil,9832,1030,2723665,2020,3610,378
28/05/2020,México,Ciudad de México,22698,2044,8985339,2015,2526,227
28/05/2020,Perú,Lima,93347,4195,9485405,2017,9841,442
28/05/2020,Uruguay,Montevideo,559,14,1351162,2020,414,10
28/05/2020,Brasil,Sao Paulo,95865,6980,12106920,2017,7918,577
28/05/2020,Estados Unidos,New York,366733,29529,8398748,2018,43665,3516
28/05/2020,España,Madrid,68451,8691,3266126,2020,20958,2661
29/05/2020,Colombia,Bogotá,9162,239,7743955,2020,1183,31
29/05/2020,Argentina,Buenos Aires,8887,219,3075646,2020,2889,71
29/05/2020,Brasil,Brasilia,8722,154,3015268,2019,2893,51
29/05/2020,Chile,Santiago de Chile,72910,685,7460708,2020,9773,92
7/06/2020,Ecuador,Guayaquil,9880,1030,2723665,2020,3627,378
8/06/2020,Ecuador,Guayaquil,9880,1030,2723665,2020,3627,378
29/05/2020,México,Ciudad de México,23623,2131,8985339,2015,2629,237
29/05/2020,Perú,Lima,96347,4270,9485405,2017,10157,450
29/05/2020,Uruguay,Montevideo,561,14,1351162,2020,415,10
29/05/2020,Brasil,Sao Paulo,101556,7275,12106920,2017,8388,601
29/05/2020,Estados Unidos,New York,368284,29646,8398748,2018,43850,3530
29/05/2020,España,Madrid,68597,8691,3266126,2020,21003,2661
30/05/2020,Colombia,Bogotá,9637,246,7743955,2020,1244,32
30/05/2020,Argentina,Buenos Aires,9392,221,3075646,2020,3054,72
30/05/2020,Brasil,Brasilia,18196,316,3015268,2019,6035,105
30/05/2020,Chile,Santiago de Chile,76251,728,7460708,2020,10220,98
9/06/2020,Ecuador,Guayaquil,9880,1030,2723665,2020,3627,378
10/06/2020,Ecuador,Guayaquil,9892,1033,2723665,2020,3632,379
30/05/2020,México,Ciudad de México,24265,2203,8985339,2015,2701,245
30/05/2020,Perú,Lima,98785,4351,9485405,2017,10414,459
30/05/2020,Uruguay,Montevideo,562,14,1351162,2020,416,10
30/05/2020,Brasil,Sao Paulo,107142,7532,12106920,2017,8850,622
30/05/2020,Estados Unidos,New York,369660,29710,8398748,2018,44014,3537
30/05/2020,España,Madrid,68740,8691,3266126,2020,21046,2661
31/05/2020,Colombia,Bogotá,9989,254,7743955,2020,1290,33
31/05/2020,Argentina,Buenos Aires,9786,228,3075646,2020,3182,74
31/05/2020,Brasil,Brasilia,9780,170,3015268,2019,3243,56
31/05/2020,Chile,Santiago de Chile,80504,775,7460708,2020,10790,104
11/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
12/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
31/05/2020,México,Ciudad de México,25018,2232,8985339,2015,2784,248
31/05/2020,Perú,Lima,100085,4423,9485405,2017,10551,466
31/05/2020,Uruguay,Montevideo,562,14,1351162,2020,416,10
31/05/2020,Brasil,Sao Paulo,109698,7615,12106920,2017,9061,629
31/05/2020,Estados Unidos,New York,370770,29784,8398748,2018,44146,3546
31/05/2020,España,Madrid,68830,8691,3266126,2020,21074,2661
1/06/2020,Colombia,Bogotá,10370,258,7743955,2020,1339,33
1/06/2020,Argentina,Buenos Aires,9786,228,3075646,2020,3182,74
1/06/2020,Brasil,Brasilia,10510,171,3015268,2019,3486,57
1/06/2020,Chile,Santiago de Chile,85239,824,7460708,2020,11425,110
13/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
14/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
1/06/2020,México,Ciudad de México,25787,2275,8985339,2015,2870,253
1/06/2020,Perú,Lima,102022,4507,9485405,2017,10756,475
1/06/2020,Uruguay,Montevideo,562,15,1351162,2020,416,11
1/06/2020,Brasil,Sao Paulo,111296,7667,12106920,2017,9193,633
1/06/2020,Estados Unidos,New York,371711,29917,8398748,2018,44258,3562
1/06/2020,España,Madrid,68852,8691,3266126,2020,21081,2661
2/06/2020,Colombia,Bogotá,10743,267,7743955,2020,1387,34
2/06/2020,Argentina,Buenos Aires,10633,240,3075646,2020,3457,78
2/06/2020,Brasil,Brasilia,11256,177,3015268,2019,3733,59
2/06/2020,Chile,Santiago de Chile,88194,894,7460708,2020,11821,120
15/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
16/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
2/06/2020,México,Ciudad de México,26509,2392,8985339,2015,2950,266
2/06/2020,Perú,Lima,103832,4581,9485405,2017,10947,483
2/06/2020,Uruguay,Montevideo,562,15,1351162,2020,416,11
2/06/2020,Brasil,Sao Paulo,118295,7994,12106920,2017,9771,660
2/06/2020,Estados Unidos,New York,373040,29968,8398748,2018,44416,3568
2/06/2020,España,Madrid,68960,8691,3266126,2020,21114,2661
3/06/2020,Colombia,Bogotá,11250,274,7743955,2020,1453,35
3/06/2020,Argentina,Buenos Aires,11225,246,3075646,2020,3650,80
3/06/2020,Brasil,Brasilia,12020,191,3015268,2019,3986,63
3/06/2020,Chile,Santiago de Chile,92191,961,7460708,2020,12357,129
17/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
18/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
3/06/2020,México,Ciudad de México,27326,2660,8985339,2015,3041,296
3/06/2020,Perú,Lima,104681,4645,9485405,2017,11036,490
3/06/2020,Uruguay,Montevideo,563,15,1351162,2020,417,11
3/06/2020,Brasil,Sao Paulo,123483,8276,12106920,2017,10199,684
3/06/2020,Estados Unidos,New York,374085,30019,8398748,2018,44541,3574
3/06/2020,España,Madrid,69112,8691,3266126,2020,21160,2661
4/06/2020,Colombia,Bogotá,11782,283,7743955,2020,1521,37
4/06/2020,Argentina,Buenos Aires,11759,259,3075646,2020,3823,84
4/06/2020,Brasil,Brasilia,12923,196,3015268,2019,4286,65
4/06/2020,Chile,Santiago de Chile,95890,1034,7460708,2020,12853,139
19/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
20/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
4/06/2020,México,Ciudad de México,28389,2862,8985339,2015,3159,319
4/06/2020,Perú,Lima,106449,4721,9485405,2017,11222,498
4/06/2020,Uruguay,Montevideo,564,15,1351162,2020,417,11
4/06/2020,Brasil,Sao Paulo,129200,8560,12106920,2017,10672,707
4/06/2020,Estados Unidos,New York,375133,30174,8398748,2018,44665,3593
4/06/2020,España,Madrid,69236,8691,3266126,2020,21198,2661
5/06/2020,Colombia,Bogotá,12185,294,7743955,2020,1573,38
5/06/2020,Argentina,Buenos Aires,12292,278,3075646,2020,3997,90
5/06/2020,Brasil,Brasilia,12923,196,3015268,2019,4286,65
5/06/2020,Chile,Santiago de Chile,99066,1105,7460708,2020,13278,148
21/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
22/06/2020,Ecuador,Guayaquil,9901,1034,2723665,2020,3635,380
5/06/2020,México,Ciudad de México,29580,3013,8985339,2015,3292,335
5/06/2020,Perú,Lima,109063,4806,9485405,2017,11498,507
5/06/2020,Uruguay,Montevideo,565,15,1351162,2020,418,11
5/06/2020,Brasil,Sao Paulo,129200,8560,12106920,2017,10672,707
5/06/2020,Estados Unidos,New York,376208,30236,8398748,2018,44793,3600
5/06/2020,España,Madrid,69423,8691,3266126,2020,21255,2661
6/06/2020,Colombia,Bogotá,12564,304,7743955,2020,1622,39
6/06/2020,Argentina,Buenos Aires,12812,292,3075646,2020,4166,95
6/06/2020,Brasil,Brasilia,12923,196,3015268,2019,4286,65
6/06/2020,Chile,Santiago de Chile,103194,1184,7460708,2020,13832,159
23/06/2020,Ecuador,Guayaquil,9955,1053,2723665,2020,3655,387
24/06/2020,Ecuador,Guayaquil,9964,1054,2723665,2020,3658,387
6/06/2020,México,Ciudad de México,30223,3062,8985339,2015,3364,341
6/06/2020,Perú,Lima,111405,4897,9485405,2017,11745,516
6/06/2020,Uruguay,Montevideo,568,15,1351162,2020,420,11
6/06/2020,Brasil,Sao Paulo,140549,9058,12106920,2017,11609,748
6/06/2020,Estados Unidos,New York,377316,30280,8398748,2018,44925,3605
