Reported_date,Country,City,total_confirmed_cases,Population,Census_year,cases_per_million
2020-07-05,Estados Unidos,New York,217216,8398748,2018,25863.0
2020-07-06,Brasil,Sao Paulo,142502,12252023,2017,11631.0
2020-07-06,Estados Unidos,New York,217488,8398748,2018,25895.0
2020-07-07,Brasil,Sao Paulo,144573,12252023,2017,11800.0
2020-07-07,Estados Unidos,New York,217777,8398748,2018,25930.0
2020-07-08,Brasil,Sao Paulo,146739,12252023,2017,11977.0
2020-07-08,Estados Unidos,New York,218052,8398748,2018,25962.0
2020-07-09,Brasil,Sao Paulo,149431,12252023,2017,12196.0
2020-07-09,Estados Unidos,New York,218404,8398748,2018,26004.0
2020-07-10,Brasil,Sao Paulo,151365,12252023,2017,12354.0
2020-07-10,Estados Unidos,New York,218710,8398748,2018,26041.0
2020-07-11,Brasil,Sao Paulo,152806,12252023,2017,12472.0
2020-07-11,Estados Unidos,New York,219051,8398748,2018,26081.0
2020-07-12,Brasil,Sao Paulo,154013,12252023,2017,12570.0
2020-07-12,Estados Unidos,New York,219301,8398748,2018,26111.0
2020-07-13,Brasil,Sao Paulo,158802,12252023,2017,12961.0
2020-07-13,Estados Unidos,New York,219616,8398748,2018,26149.0
2020-07-14,Brasil,Sao Paulo,160326,12252023,2017,13086.0
2020-07-14,Estados Unidos,New York,219982,8398748,2018,26192.0
2020-07-15,Brasil,Sao Paulo,162244,12252023,2017,13242.0
2020-07-15,Estados Unidos,New York,220367,8398748,2018,26238.0
2020-07-16,Brasil,Sao Paulo,163624,12252023,2017,13355.0
2020-07-16,Estados Unidos,New York,220734,8398748,2018,26282.0
2020-07-17,Brasil,Sao Paulo,165094,12252023,2017,13475.0
2020-07-17,Estados Unidos,New York,221121,8398748,2018,26328.0
2020-07-18,Brasil,Sao Paulo,166073,12252023,2017,13555.0
2020-07-18,Estados Unidos,New York,221419,8398748,2018,26363.0
2020-07-19,Brasil,Sao Paulo,166348,12252023,2017,13577.0
2020-07-19,Estados Unidos,New York,221703,8398748,2018,26397.0
2020-07-20,Brasil,Sao Paulo,167801,12252023,2017,13696.0
2020-07-20,Estados Unidos,New York,222094,8398748,2018,26444.0
2020-07-21,Brasil,Sao Paulo,171119,12252023,2017,13967.0
2020-07-21,Estados Unidos,New York,222444,8398748,2018,26485.0
2020-07-22,Brasil,Sao Paulo,173710,12252023,2017,14178.0
2020-07-22,Estados Unidos,New York,222832,8398748,2018,26532.0
2020-07-23,Brasil,Sao Paulo,176190,12252023,2017,14380.0
2020-07-23,Estados Unidos,New York,223192,8398748,2018,26574.0
2020-07-24,Brasil,Sao Paulo,179115,12252023,2017,14619.0
2020-07-24,Estados Unidos,New York,223532,8398748,2018,26615.0
2020-07-25,Brasil,Sao Paulo,179777,12252023,2017,14673.0
2020-07-25,Estados Unidos,New York,223761,8398748,2018,26642.0
2020-07-26,Brasil,Sao Paulo,182027,12252023,2017,14857.0
2020-07-26,Estados Unidos,New York,224051,8398748,2018,26677.0
2020-07-27,Brasil,Sao Paulo,182027,12252023,2017,14857.0
2020-07-27,Estados Unidos,New York,224249,8398748,2018,26700.0
2020-07-28,Brasil,Sao Paulo,188827,12252023,2017,15412.0
2020-07-28,Estados Unidos,New York,224551,8398748,2018,26736.0
2020-07-29,Brasil,Sao Paulo,193684,12252023,2017,15808.0
2020-07-29,Estados Unidos,New York,224863,8398748,2018,26773.0
2020-07-30,Brasil,Sao Paulo,197560,12252023,2017,16125.0
2020-07-30,Estados Unidos,New York,225148,8398748,2018,26807.0
2020-07-31,Brasil,Sao Paulo,199674,12252023,2017,16297.0
2020-07-31,Estados Unidos,New York,225460,8398748,2018,26844.0
