date,city_name,lat,lon,temp_mean,humidity_mean,temp_min,temp_max
2020-01-01,New York,40.712775,-74.005973,4.071666666666665,60.708333333333336,2.0,3.33
2020-01-02,New York,40.712775,-74.005973,3.2641666666666667,58.625,-3.33,2.22
2020-01-03,New York,40.712775,-74.005973,7.418400000000002,78.12,4.44,7.39
2020-01-04,New York,40.712775,-74.005973,8.625416666666666,94.875,6.67,8.33
2020-01-05,New York,40.712775,-74.005973,4.917916666666667,59.666666666666664,2.22,4.0
2020-01-06,New York,40.712775,-74.005973,2.7047999999999996,67.04,-1.11,1.11
2020-01-07,New York,40.712775,-74.005973,4.411666666666666,51.666666666666664,0.56,4.44
2020-01-08,New York,40.712775,-74.005973,2.370833333333333,67.79166666666667,-1.11,1.11
2020-01-09,New York,40.712775,-74.005973,-1.8254166666666671,45.541666666666664,-5.56,-3.33
2020-01-10,New York,40.712775,-74.005973,3.99375,67.29166666666667,-1.67,1.0
2020-01-11,New York,40.712775,-74.005973,12.975416666666668,72.45833333333333,6.67,10.19
2020-01-12,New York,40.712775,-74.005973,16.91208333333333,66.375,11.0,15.0
2020-01-13,New York,40.712775,-74.005973,6.191666666666667,66.04166666666667,1.11,4.05
2020-01-14,New York,40.712775,-74.005973,5.183333333333333,81.95833333333333,1.11,5.0
2020-01-15,New York,40.712775,-74.005973,7.211250000000001,76.75,4.0,6.67
2020-01-16,New York,40.712775,-74.005973,6.97125,71.04166666666667,2.78,5.05
2020-01-17,New York,40.712775,-74.005973,-1.4795833333333333,40.416666666666664,-6.67,-4.0
2020-01-18,New York,40.712775,-74.005973,-4.4216,56.04,-7.22,-5.0
2020-01-19,New York,40.712775,-74.005973,3.3876,76.44,-1.67,2.26
2020-01-20,New York,40.712775,-74.005973,-2.58,45.25,-7.22,-5.0
2020-01-21,New York,40.712775,-74.005973,-3.466666666666667,46.875,-8.33,-5.11
2020-01-22,New York,40.712775,-74.005973,-1.1154166666666667,54.208333333333336,-6.67,-2.0
2020-01-23,New York,40.712775,-74.005973,1.9712499999999997,59.666666666666664,-5.0,1.11
2020-01-24,New York,40.712775,-74.005973,4.683750000000001,57.875,-2.78,3.33
2020-01-25,New York,40.712775,-74.005973,5.692083333333333,79.375,2.78,4.44
2020-01-26,New York,40.712775,-74.005973,5.545833333333333,75.75,1.0,3.89
2020-01-27,New York,40.712775,-74.005973,4.42125,63.416666666666664,0.56,3.33
2020-01-28,New York,40.712775,-74.005973,4.474583333333334,55.875,2.22,3.89
2020-01-29,New York,40.712775,-74.005973,2.6875,49.5,0.0,1.11
2020-01-30,New York,40.712775,-74.005973,-0.49124999999999996,49.833333333333336,-5.0,-2.22
2020-01-31,New York,40.712775,-74.005973,2.233333333333333,71.875,-2.22,1.67
2020-02-01,New York,40.712775,-74.005973,4.189583333333334,85.875,1.49,4.0
2020-02-02,New York,40.712775,-74.005973,3.9672,76.32,1.0,2.78
2020-02-03,New York,40.712775,-74.005973,6.070833333333333,76.125,1.11,3.14
2020-02-04,New York,40.712775,-74.005973,8.345,71.625,3.17,7.22
2020-02-05,New York,40.712775,-74.005973,6.989583333333333,69.79166666666667,3.33,5.09
2020-02-06,New York,40.712775,-74.005973,4.276249999999999,81.66666666666667,1.67,3.73
2020-02-07,New York,40.712775,-74.005973,5.372916666666666,89.375,1.11,3.41
2020-02-08,New York,40.712775,-74.005973,1.569583333333333,51.916666666666664,-2.22,0.01
2020-02-09,New York,40.712775,-74.005973,2.2845833333333334,65.91666666666667,-2.22,1.11
2020-02-10,New York,40.712775,-74.005973,5.977500000000002,76.25,1.67,6.11
2020-02-11,New York,40.712775,-74.005973,7.132083333333334,94.54166666666667,5.56,7.22
2020-02-12,New York,40.712775,-74.005973,5.976250000000001,56.625,2.22,4.44
2020-02-13,New York,40.712775,-74.005973,4.229583333333334,86.66666666666667,1.67,3.89
2020-02-14,New York,40.712775,-74.005973,1.4179166666666665,54.291666666666664,-4.0,-2.0
2020-02-15,New York,40.712775,-74.005973,-5.8566666666666665,49.291666666666664,-11.11,-7.95
2020-02-16,New York,40.712775,-74.005973,0.9883333333333334,66.41666666666667,-3.33,-1.0
2020-02-17,New York,40.712775,-74.005973,5.475416666666667,53.0,-0.56,4.44
2020-02-18,New York,40.712775,-74.005973,5.427499999999999,67.29166666666667,2.0,4.0
2020-02-19,New York,40.712775,-74.005973,6.723333333333334,56.541666666666664,3.89,6.0
2020-02-20,New York,40.712775,-74.005973,0.6875,43.583333333333336,-3.33,-0.56
2020-02-21,New York,40.712775,-74.005973,-2.28875,40.875,-7.22,-4.93
2020-02-22,New York,40.712775,-74.005973,2.55625,39.541666666666664,-3.33,0.0
2020-02-23,New York,40.712775,-74.005973,6.252083333333334,35.375,-3.0,4.0
2020-02-24,New York,40.712775,-74.005973,7.802916666666666,48.916666666666664,0.0,5.0
2020-02-25,New York,40.712775,-74.005973,8.665555555555555,76.96296296296296,5.56,9.0
2020-02-26,New York,40.712775,-74.005973,7.7540625,93.25,6.0,8.33
2020-02-27,New York,40.712775,-74.005973,5.7976,72.92,1.11,3.33
2020-02-28,New York,40.712775,-74.005973,1.0896,45.76,-2.78,-0.34
2020-02-29,New York,40.712775,-74.005973,0.3979166666666667,44.083333333333336,-3.0,-1.0
2020-03-01,New York,40.712775,-74.005973,-0.10416666666666696,45.708333333333336,-5.0,-2.58
2020-03-02,New York,40.712775,-74.005973,6.614999999999999,52.25,-1.11,4.44
2020-03-03,New York,40.712775,-74.005973,11.2704,70.72,6.11,10.56
2020-03-04,New York,40.712775,-74.005973,10.208800000000002,58.76,6.11,8.0
2020-03-05,New York,40.712775,-74.005973,7.835416666666667,48.25,2.78,4.44
2020-03-06,New York,40.712775,-74.005973,5.148076923076922,77.1923076923077,1.67,5.0
2020-03-07,New York,40.712775,-74.005973,4.509583333333333,59.541666666666664,1.57,3.33
2020-03-08,New York,40.712775,-74.005973,6.375833333333333,37.083333333333336,-1.11,3.0
2020-03-09,New York,40.712775,-74.005973,12.350416666666668,36.333333333333336,4.0,8.89
2020-03-10,New York,40.712775,-74.005973,14.865833333333333,48.208333333333336,8.0,13.0
2020-03-11,New York,40.712775,-74.005973,11.424583333333336,54.375,5.0,7.78
2020-03-12,New York,40.712775,-74.005973,7.590416666666667,61.708333333333336,3.0,7.22
